景点名称,景点经度,景点纬度,景点城市,点评数量,点评数量排名_当前城市,点评数量排名_全国,places,position,wgs_longitude,wgs_latitude
磁器口古镇,106.4500028,29.58143028,重庆,10001~20000,1,28,"磁器口古镇内,龙隐洞西158米",沙坪坝区,106.4500028,29.58143028
洪崖洞民俗风貌区,106.5783425,29.56193794,重庆,5001~10000,2,66,"重庆洪崖洞内,洪崖滴翠附近19米",渝中区,106.5783425,29.56193794
武隆,107.7534968,29.31911305,重庆,5001~10000,3,99,佳兴窗帘南247米,武隆区,107.7534968,29.31911305
武隆天生三桥,107.8051209,29.43358692,重庆,5001~10000,4,109,"天生三桥内,鲤鱼跃龙门东南168米",武隆区,107.8051209,29.43358692
长江索道,106.5828,29.55774016,重庆,1001~5000,5,172,重庆长江索道北站附近9米,渝中区,106.5828,29.55774016
解放碑步行街,106.5771606,29.55729845,重庆,1001~5000,6,173,"解放碑步行街内,人民解放纪念碑内0米",渝中区,106.5771606,29.55729845
万州大瀑布,108.2568121,30.65707764,重庆,1001~5000,7,323,"万州大瀑布景区内,神秘石刻附近32米",万州区,108.2568121,30.65707764
大足石刻,105.76976,29.74675675,重庆,1001~5000,8,390,铁厂新村东南345米,大足区,105.76976,29.74675675
黑山谷风景区,106.9978157,28.88777491,重庆,1001~5000,9,404,"黑山谷风景区内,黑山森林假日西447米",綦江区,106.9978157,28.88777491
龙水峡地缝,107.7918995,29.40265458,重庆,1001~5000,10,444,"龙水峡地缝内,时空隧道附近6米",武隆区,107.7918995,29.40265458
仙女山国家森林公园,107.7389386,29.49718596,重庆,1001~5000,11,470,"仙女山国家森林公园内,仙湖林韵东北120米",武隆区,107.7389386,29.49718596
朝天门广场,106.5880033,29.56718436,重庆,1001~5000,12,485,"重庆朝天门广场内,重庆规划展览馆来福士体验中心北90米",渝中区,106.5880033,29.56718436
武隆喀斯特旅游区,107.7681209,29.41768058,重庆,1001~5000,13,654,"武隆喀斯特旅游仙女山游客中心内,石头城附近28米",武隆区,107.7681209,29.41768058
南山一棵树观景台,106.6033081,29.54581602,重庆,501~1000,14,818,"南山一棵树景区内,观景台东北133米",南岸区,106.6033081,29.54581602
三峡博物馆,106.5503822,29.56213628,重庆,501~1000,15,837,"重庆中国三峡博物馆内,历代钱币厅附近26米",渝中区,106.5503822,29.56213628
重庆园博园,106.5540151,29.68008667,重庆,501~1000,16,890,"重庆园博园内,濯花水榭北54米",渝北区,106.5540151,29.68008667
